epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5599.69,1.54138,5.37721,1.90492,0.73526,0.35807,0.33745,0.15014,2.23402,9.06686,2.91913,0.000450172,0.000450172,0.000450172
43,5725.68,1.54514,5.25886,1.92884,0.66105,0.33274,0.39075,0.17917,2.31011,8.76551,2.9219,0.000447801,0.000447801,0.000447801
44,5856.08,1.53182,5.27328,1.91087,0.59993,0.40057,0.35235,0.15509,2.3091,7.92488,2.95384,0.000445382,0.000445382,0.000445382
45,5983.16,1.52657,5.13112,1.89745,0.70362,0.34613,0.40965,0.16778,2.38275,9.46808,3.20413,0.000442915,0.000442915,0.000442915
46,6109.33,1.53265,5.20591,1.90767,0.60673,0.37302,0.38252,0.18003,2.26343,7.64037,2.97185,0.000440401,0.000440401,0.000440401
47,6241.56,1.53304,5.30922,1.89788,0.64556,0.36871,0.40098,0.17601,2.36069,10.2035,3.14608,0.00043784,0.00043784,0.00043784
48,6369.81,1.52105,5.18207,1.91015,0.60862,0.32533,0.3346,0.13683,2.30658,10.1214,3.03044,0.000435233,0.000435233,0.000435233
49,6497.6,1.5115,5.20384,1.90687,0.65013,0.36728,0.3671,0.15852,2.30622,9.70261,3.02843,0.000432581,0.000432581,0.000432581
50,6626.85,1.50739,5.11739,1.88517,0.67363,0.37923,0.37192,0.1687,2.33244,8.50409,3.15957,0.000429884,0.000429884,0.000429884
51,6754.15,1.50249,5.05423,1.87687,0.56166,0.39233,0.34997,0.14556,2.36937,7.90373,3.23702,0.000427143,0.000427143,0.000427143
52,6882.49,1.49907,4.9348,1.88037,0.67379,0.36613,0.41772,0.16189,2.32824,7.75105,3.18607,0.000424358,0.000424358,0.000424358
53,7010.68,1.48904,4.95619,1.86752,0.63226,0.35103,0.39457,0.17263,2.36937,7.42683,3.16544,0.000421531,0.000421531,0.000421531
54,7139.46,1.48265,4.99045,1.88583,0.7179,0.3431,0.38154,0.15369,2.28345,7.70328,3.07983,0.000418662,0.000418662,0.000418662
55,7268.77,1.48706,4.88475,1.87377,0.65391,0.3641,0.37679,0.17138,2.35451,7.29274,3.17901,0.000415751,0.000415751,0.000415751
56,7396.03,1.48756,4.97331,1.87008,0.66238,0.3745,0.40583,0.17817,2.34919,9.74877,3.12648,0.0004128,0.0004128,0.0004128
57,7522.24,1.47732,4.86811,1.8656,0.68107,0.35103,0.37778,0.17285,2.26751,8.5819,3.04702,0.000409809,0.000409809,0.000409809
58,7652.71,1.47601,4.76142,1.8532,0.67394,0.36719,0.38709,0.16565,2.33793,8.11251,3.12156,0.000406779,0.000406779,0.000406779
59,7779.44,1.47414,4.83949,1.85263,0.70996,0.3875,0.39819,0.1729,2.30635,7.53473,3.09442,0.000403711,0.000403711,0.000403711
60,7905.92,1.48828,4.8535,1.86777,0.67041,0.37375,0.36909,0.15802,2.34618,8.13439,3.0782,0.000400605,0.000400605,0.000400605
61,8037.21,1.45562,4.72155,1.83422,0.67677,0.37392,0.3988,0.18037,2.37112,7.69344,3.19879,0.000397462,0.000397462,0.000397462
62,8165.04,1.45696,4.6958,1.83591,0.66704,0.37445,0.42092,0.18995,2.32158,7.96851,3.20821,0.000394283,0.000394283,0.000394283
63,8292.53,1.43911,4.75362,1.82739,0.68342,0.37585,0.37439,0.17119,2.29835,8.04168,3.02415,0.000391068,0.000391068,0.000391068
64,8420.82,1.4419,4.71692,1.83366,0.68585,0.32045,0.37561,0.1818,2.26009,7.642,3.10887,0.000387819,0.000387819,0.000387819
65,8548.47,1.42741,4.61954,1.82141,0.66248,0.35627,0.38992,0.17912,2.28733,7.31066,3.05528,0.000384537,0.000384537,0.000384537
66,8677.34,1.42752,4.60153,1.80775,0.74373,0.34885,0.38806,0.1775,2.27451,7.46936,3.17162,0.000381222,0.000381222,0.000381222
67,8807.87,1.43225,4.64016,1.81393,0.71144,0.35161,0.39717,0.18992,2.31904,8.52181,3.17687,0.000377874,0.000377874,0.000377874
68,8934.78,1.42296,4.58886,1.8157,0.69055,0.37417,0.39212,0.17675,2.29545,8.17002,3.28414,0.000374495,0.000374495,0.000374495
69,9064.68,1.41881,4.47502,1.80336,0.6985,0.35403,0.38639,0.16862,2.30964,7.54099,3.26779,0.000371086,0.000371086,0.000371086
70,9192.21,1.43253,4.47729,1.81913,0.75187,0.34753,0.39222,0.17173,2.36917,6.87193,3.37636,0.000367648,0.000367648,0.000367648
71,9319.27,1.40114,4.44805,1.79544,0.67608,0.37141,0.37967,0.1699,2.31297,8.29761,3.26529,0.00036418,0.00036418,0.00036418
72,9449.89,1.40354,4.37759,1.79669,0.69125,0.38157,0.37556,0.16891,2.33976,7.22716,3.23051,0.000360685,0.000360685,0.000360685
73,9577.02,1.40271,4.29531,1.78266,0.66376,0.37668,0.35993,0.15846,2.35904,7.71296,3.31409,0.000357163,0.000357163,0.000357163
74,9704.07,1.40185,4.36549,1.79749,0.68455,0.39103,0.36804,0.1529,2.33496,6.78989,3.20717,0.000353614,0.000353614,0.000353614
75,9835.93,1.41134,4.41431,1.79567,0.5713,0.38838,0.38017,0.16401,2.35227,7.77156,3.2434,0.000350041,0.000350041,0.000350041
76,9963.05,1.38597,4.29521,1.76793,0.63383,0.38734,0.34051,0.14613,2.3329,7.19847,3.26392,0.000346443,0.000346443,0.000346443
77,10091.1,1.38569,4.37588,1.77942,0.60738,0.36649,0.36885,0.16472,2.32808,7.90689,3.31955,0.000342821,0.000342821,0.000342821
78,10221,1.41668,4.32133,1.78453,0.59909,0.41384,0.42006,0.18031,2.28444,7.38636,3.18788,0.000339177,0.000339177,0.000339177
79,10433.4,1.37232,4.3052,1.77719,0.64145,0.39279,0.38882,0.16901,2.2955,8.25996,3.17004,0.000335511,0.000335511,0.000335511
80,10691.8,1.38327,4.32722,1.76541,0.65084,0.38691,0.39175,0.17986,2.29108,7.88608,3.1325,0.000331824,0.000331824,0.000331824
81,10939,1.36749,4.28422,1.76807,0.59741,0.38116,0.3734,0.16579,2.32409,8.69307,3.20772,0.000328118,0.000328118,0.000328118
82,11067.6,1.39286,4.36732,1.79074,0.64986,0.39883,0.44742,0.20786,2.3137,7.69077,3.23576,0.000324393,0.000324393,0.000324393
83,11196.8,1.38091,4.29033,1.78026,0.68993,0.38597,0.40327,0.16979,2.35064,7.84169,3.21973,0.000320649,0.000320649,0.000320649
